Sucursal,Canal,Cliente
NEWSPORT (Out Let)  O. Higgins 3551,MB,ADOLFO ZAKIAN S.A.
NEWSPORT (Out Let) Martinolli,MB,ADOLFO ZAKIAN S.A.
NEWSPORT - 9 DE JULIO,MB,ADOLFO ZAKIAN S.A.
NEWSPORT - Barrio Jardin,MB,ADOLFO ZAKIAN S.A.
NEWSPORT - Carlos Paz,MB,ADOLFO ZAKIAN S.A.
NEWSPORT - DIGITAL,MB,ADOLFO ZAKIAN S.A.
NEWSPORT - Dino Alto Verde,MB,ADOLFO ZAKIAN S.A.
NEWSPORT - Dino Ruta 20,MB,ADOLFO ZAKIAN S.A.
NEWSPORT - MERCADO LIBRE,MB,ADOLFO ZAKIAN S.A.
NEWSPORT - POETA LUGONES,MB,ADOLFO ZAKIAN S.A.
NEWSPORT - RUTA 9,MB,ADOLFO ZAKIAN S.A.
NEWSPORT COLON,MB,ADOLFO ZAKIAN S.A.
NEWSPORT- PATIO OLMOS,MB,ADOLFO ZAKIAN S.A.
NEWSPORT- SAN MARTIN,MB,ADOLFO ZAKIAN S.A.
NEWSPORT- VILLA CABRERA,MB,ADOLFO ZAKIAN S.A.
Newsport Nuevo Centro,MB,ADOLFO ZAKIAN S.A.
NFS Quilmes,ND,NFS 8 de Octubre
NIKE / GRID - MERCADOLIBRE,MB,AMI MUSIC S.A.
NOS UNICENTER,ND,Nike Unicenter
NSO ABASTO,ND,Nike Abasto
NSO ALCORTA,ND,Nike Alcorta
NSO ALTO AVELLANEDA,ND,Nike Alto Avellaneda
NSO ALTO PALERMO,ND,Nike Buenos Aires
NSO ALTO PALERMO - POP UP,ND,NIKE ALTO PALERMO - POP UP
NSO ALTO ROSARIO,ND,Nike Alto Rosario
NSO CORDOBA NUEVO CENTRO,ND,Nike Cordoba Nuevo Centro
NSO Galerias Pacifico,ND,Nike Galerias Pacifico
NSO PALMAS DEL PILAR,ND,Nike Palmas del Pilar
NSP  MAXI MENDOZA - 35,ND,ANTONIO LUQUIN S.A.
NSP ALTO ROSARIO,ND,GRAELLS NELSON A.
NSP CORDOBA NUEVO CENTRO,ND,ROSSETTI CARLOS ALBERTO
NSP PASEO ALCORTA,ND,PAIR S.A. (NS PALERMO)
NSP PILAR,ND,PAIR S.A. (NS PALERMO)
NSP ROSARIO,ND,GRAELLS NELSON A.
NSP TORTUGAS,ND,PAIR S.A. (NS PALERMO)
NSP TUCUMAN - 27,ND,ANTONIO LUQUIN S.A.
NVS 8 de Octubre,ND,NFS 8 de Octubre
NVS Arcos,ND,NFS Arcos
NVS Barracas,ND,NFS Barracas
NVS La Plata,ND,NIKE OUTLET LA PLATA
NVS NUEVO CENTRO,ND,Nike Nuevo Centro
NVS PLAZA OESTE,ND,Nike Plaza Oeste
NVS Rivadavia,ND,NFS Rivadavia
NVS Soleil,ND,NFS Soleil
NVS TOM,ND,Nike TOM
NVS Tres Cruces,ND,NIKE FACTORY STORES (UY)
Nike Tienda Pop Up,ND,Tienda Pop Up
Nike.com Argentina,ND,Nike.com AR
Nike.com Argentina - Meli Full,ND,Nike.com AR - Meli Full
Nike.com UY,ND,Nike.com UY
OPEN Aldrey,MB,MDQ LE SPORT S.A.
OPEN Carilo,MB,MDQ LE SPORT S.A.
OPEN Catamarca,MB,MDQ LE SPORT S.A.
OPEN Canuelas,MB,MDQ LE SPORT S.A.
OPEN Florida,MB,MDQ LE SPORT S.A.
OPEN Guemes,MB,MDQ LE SPORT S.A.
OPEN Guemes 2,MB,MDQ LE SPORT S.A.
OPEN La Plata 2,MB,MDQ LE SPORT S.A.
OPEN MELI,MB,MDQ LE SPORT S.A.
OPEN R&B,MB,MDQ LE SPORT S.A.
OPEN SPORT General Pico,MB,MDQ LE SPORT S.A.
OPEN SPORT La Plata 3,MB,MDQ LE SPORT S.A.
OPEN SPORTS - SAN CLEMENTE,MB,MDQ LE SPORT S.A.
OPEN SPORTS - CANUELAS,MB,MDQ LE SPORT S.A.
OPEN SPORTS - CHASCOMUS,MB,MDQ LE SPORT S.A.
OPEN SPORTS - DOLORES,MB,MDQ LE SPORT S.A.
OPEN SPORTS - SANTA TERESITA,MB,MDQ LE SPORT S.A.
OPEN SPORTS 25 de Mayo-41,MB,MDQ LE SPORT S.A.
OPEN SPORTS 9 de Julio-47,MB,MDQ LE SPORT S.A.
OPEN SPORTS Azul-59,MB,MDQ LE SPORT S.A.
OPEN SPORTS Balcarce-49,MB,MDQ LE SPORT S.A.
OPEN SPORTS Bolivar-70,MB,MDQ LE SPORT S.A.
OPEN SPORTS Bragado-69,MB,MDQ LE SPORT S.A.
OPEN SPORTS CUD,MB,MDQ LE SPORT S.A.
OPEN SPORTS Chivilcoy-63,MB,MDQ LE SPORT S.A.
OPEN SPORTS Gesell 2-5,MB,MDQ LE SPORT S.A.
OPEN SPORTS Juan B. Justo -64,MB,MDQ LE SPORT S.A.
OPEN SPORTS La Plata 2,MB,MDQ LE SPORT S.A.
OPEN SPORTS Lobos,MB,MDQ LE SPORT S.A.
OPEN SPORTS Mar de Ajo,MB,MDQ LE SPORT S.A.
OPEN SPORTS Mercedes-65,MB,MDQ LE SPORT S.A.
OPEN SPORTS Necochea-67,MB,MDQ LE SPORT S.A.
OPEN SPORTS Olavarria 1-51,MB,MDQ LE SPORT S.A.
OPEN SPORTS Peatonal 2-23,MB,MDQ LE SPORT S.A.
OPEN SPORTS Peatonal-2,MB,MDQ LE SPORT S.A.
OPEN SPORTS Pergamino,MB,MDQ LE SPORT S.A.
OPEN SPORTS Pinamar Outlet-26,MB,MDQ LE SPORT S.A.
OPEN SPORTS Pinamar-15,MB,MDQ LE SPORT S.A.
OPEN SPORTS Rivadavia-4,MB,MDQ LE SPORT S.A.
OPEN SPORTS Roca-46,MB,MDQ LE SPORT S.A.
OPEN SPORTS San Bernardo,MB,MDQ LE SPORT S.A.
OPEN SPORTS San Juan-1,MB,MDQ LE SPORT S.A.
OPEN SPORTS San Pedro-66,MB,MDQ LE SPORT S.A.
OPEN SPORTS Santa Rosa,MB,MDQ LE SPORT S.A.
OPEN SPORTS Tandil 2-16,MB,MDQ LE SPORT S.A.
OPEN SPORTS Tandil 3-19,MB,MDQ LE SPORT S.A.
OPEN SPORTS Viedma-68,MB,MDQ LE SPORT S.A.
OPEN Santa Rosa 2,MB,MDQ LE SPORT S.A.
OPEN Santa Rosa 3,MB,MDQ LE SPORT S.A.
OPEN Trenque Lauquen,MB,MDQ LE SPORT S.A.
OUTLET ROSARIO,MB,GRAELLS NELSON A.
Open Sports Digital,MB,MDQ LE SPORT S.A.
Outlet Rossetti Deportes 19,MB,ROSSETTI CARLOS ALBERTO
Outlet Rossetti Deportes 22,MB,ROSSETTI CARLOS ALBERTO
Outlet Rossetti Deportes 27,MB,ROSSETTI CARLOS ALBERTO
Outlet Rossetti Deportes 29,MB,ROSSETTI CARLOS ALBERTO
Outlet Rossetti Deportes 41,MB,ROSSETTI CARLOS ALBERTO
Outlet Rossetti Deportes 47,MB,ROSSETTI CARLOS ALBERTO
Outlet Rossetti Deportes 50,MB,ROSSETTI CARLOS ALBERTO
Outlet Rossetti Deportes 51,MB,ROSSETTI CARLOS ALBERTO
POP UP UY,ND,Nike Pop-Up UY
Rossetti Carlos - Canada de Gomez  - AS,MB,ROSSETTI CARLOS ALBERTO
Rossetti Carlos - Rio III  - AS,MB,ROSSETTI CARLOS ALBERTO
Rossetti Deportes 17,MB,ROSSETTI CARLOS ALBERTO
Rossetti Deportes 18,MB,ROSSETTI CARLOS ALBERTO
Rossetti Deportes 21,MB,ROSSETTI CARLOS ALBERTO
Rossetti Deportes 25,MB,ROSSETTI CARLOS ALBERTO
Rossetti Deportes 33,MB,ROSSETTI CARLOS ALBERTO
Rossetti Deportes 36,MB,ROSSETTI CARLOS ALBERTO
Rossetti Deportes 39,MB,ROSSETTI CARLOS ALBERTO
Rossetti Deportes 43,MB,ROSSETTI CARLOS ALBERTO
Rossetti Deportes 49,MB,ROSSETTI CARLOS ALBERTO
Rossetti Deportes 58,MB,ROSSETTI CARLOS ALBERTO
Rossetti Deportes 81,MB,ROSSETTI CARLOS ALBERTO
Rossetti Deportes 89,MB,ROSSETTI CARLOS ALBERTO
Rossetti Deportes 91,MB,ROSSETTI CARLOS ALBERTO
